locality,year,price,total_taxable_income,num_taxable_income,taxable_income_per_person,num_tax_payers,total_tax,tax_per_person,num_salary_earners,total_salary,salary_per_person,postcode
ABBOTSFORD,2021,1375000,1779826373,16573,107393.13178060701,14317,504227326,35218.783683732625,13136,1277522353,97253.5287,2046
ABERFELDIE,2021,1700000,1874714219,17616,106421.1068914623,15261,538402454,35279.63134788022,14137,1174976595,83113.57395,3040
AINTREE,2021,717500,,,,,,,,,,
AIREYS INLET,2021,1522000,76999943,981,78491.27726809378,796,19684764,24729.603015075376,628,40449856,64410.59872611465,3231
AIRPORT WEST,2021,889500,755018651,10031,75268.53264878875,8710,172542612,19809.714351320323,8313,627389954,75470.94358234091,3042
ALBANVALE,2021,579000,1324521537,27263,48583.11766863515,22340,224190331,10035.37739480752,22735,1149396440,50556.25423356059,3021
ALBERT PARK,2021,2390000,444172477,7442,59684.55751142166,6532,84946018,13004.595529699938,6292,388807441,61793.93531468532,5014
ALBION,2021,950000,207335862,2691,77047.88628762541,2429,47083256,19383.802387813914,2297,174473308,75957.03439268611,4010
ALEXANDRA,2021,402500,122227254,2139,57142.24123,1728,24980081,14456.065393518518,1535,83779751,54579.64234527687,3714
ALFREDTON,2021,585000,,,,,,,,,,
ALLANSFORD,2021,,77409551,1153,67137.51171,1006,17050600,16948.906560636184,849,49984040,58874.01648998822,3277
ALPHINGTON,2021,2600000,805200316,7931,101525.6986508637,6974,221952303,31825.68153140235,6546,589222706,90012.63458600672,3078
ALTONA,2021,957500,241174380,3760,64142.12234042553,3232,49524620,15323.211633663366,3037,190638401,62771.94632861376,5351
ALTONA EAST,2021,910500,,,,,,,,,,
ALTONA MEADOWS,2021,640000,999066345,16154,61846.37520118856,13844,198735739,14355.369763074255,13929,897363906,64424.14430325221,3028
ALTONA NORTH,2021,865000,521073399,6833,76258.36367627689,5977,120008213,20078.335787184205,5706,432377753,75775.98194882579,3025
ANGLESEA,2021,1200000,143042099,1901,75245.71225670699,1525,35646416,23374.699016393442,1246,82755650,66417.05457463884,3230
APOLLO BAY,2021,862500,112894822,1918,58860.69968717414,1572,23026093,14647.641857506362,1398,80742261,57755.55150214592,7150
ARARAT,2021,286000,,,,,,,,,,
ARDEER,2021,658000,110726523,1930,57371.255440414505,1625,21022795,12937.104615384615,1632,98107771,60115.05575980392,3022
ARMADALE,2021,2197500,923081878,6676,138268.70551228282,5890,292052052,49584.38913412564,4985,508057559,101917.26359077232,3143
ARMSTRONG CREEK,2021,597500,846708231,9017,93901.32316735057,7569,227115878,30006.061302681992,6806,595999495,87569.71716132824,4520
ASCOT (GREATER BENDIGO),2021,463000,,,,,,,,,,
ASCOT VALE,2021,1175000,1627561339,19444,83705.06783583625,16842,404704862,24029.501365633536,16464,1296118633,78724.40676627794,3032
ASHBURTON,2021,1650000,882451960,9297,94917.92621,7769,238496870,30698.528768181233,7281,655380159,90012.38277709106,3147
ASHWOOD,2021,1350000,882451960,9297,94917.92621,7769,238496870,30698.528768181233,7281,655380159,90012.38277709106,3147
ASPENDALE,2021,1150000,1878124210,23164,81079.44266965982,19762,455902876,23069.672907600445,18885,1503287284,79602.18607360339,3195
ASPENDALE GARDENS,2021,1070000,1878124210,23164,81079.44266965982,19762,455902876,23069.672907600445,18885,1503287284,79602.18607360339,3195
ATTWOOD,2021,880000,373844433,5825,64179.30180257511,4997,77099323,15429.122073243947,4934,327057426,66286.46655857317,3049
AVENEL,2021,500000,42310673,696,60791.19683908046,574,9048781,15764.426829268292,525,29663187,56501.30857142857,3664
AVOCA,2021,268000,7247471,156,46458.14743589744,127,1311194,10324.36220472441,122,5812323,47641.99180327869,7213
AVONDALE HEIGHTS,2021,841000,470806218,6669,70596.22402159244,5627,105471554,18743.834014572596,5209,373816839,71763.64734114033,3034
AVONSLEIGH,2021,752000,348478731,4907,71016.65600163033,4091,79713264,19485.03153263261,3879,267256715,68898.35395720547,3782
BACCHUS MARSH,2021,555000,1069612697,15104,70816.51860434322,13057,239958455,18377.763268744733,12767,868437910,68022.08114670635,3340
BADGER CREEK,2021,626500,375274132,6242,60120.81576417815,5224,76463615,14636.98602603369,4838,288295119,59589.73108722613,3777
BAIRNSDALE,2021,327000,,,,,,,,,,
BALACLAVA,2021,1272500,1246503477,10690,116604.62834424696,9036,395275928,43744.56927844179,8421,560978738,66616.64149150932,2575
BALCOMBE,2021,1458000,,,,,,,,,,
BALLAN,2021,640000,151012647,2259,66849.33466135459,1944,32948131,16948.62705761317,1852,124261426,67095.80237580993,3342
BALLARAT CENTRAL,2021,652500,,,,,,,,,,
BALLARAT EAST,2021,430000,2606930585,38858,67088.64545267384,33183,567751702,17109.715878612544,32068,2069099596,64522.25258824997,3350
BALLARAT NORTH,2021,542500,2606930585,38858,67088.64545267384,33183,567751702,17109.715878612544,32068,2069099596,64522.25258824997,3350
BALNARRING,2021,1125000,230545260,2161,106684.52568255438,1754,69665088,39717.83808437856,1386,100663724,72628.94949,3926
BALNARRING BEACH,2021,1248500,230545260,2161,106684.52568255438,1754,69665088,39717.83808437856,1386,100663724,72628.94949,3926
BALWYN,2021,2450000,1002136982,10296,97332.65171,8226,288691835,35095.044371504984,6673,559085827,83783.27993406264,3103
BALWYN NORTH,2021,2080000,1281148321,13385,95715.22756817333,10736,365654757,34058.751583457524,9200,759126165,82513.71358695652,3104
BANNOCKBURN,2021,635000,2278703124,39818,57227.96534,34404,427683093,12431.202563655388,33834,1963014645,58018.99405923036,4207
BARANDUDA,2021,435000,,,,,,,,,,
BARNAWARTHA,2021,359000,58900594,908,64868.495594713655,777,12510877,16101.5148,747,46185395,61827.83801874163,3688
BARWON HEADS,2021,1525500,331138505,3397,97479.68943185163,2839,91993335,32403.429024304332,2317,194506551,83947.58351316357,3227
BAXTER,2021,565000,146688940,2145,68386.45221445222,1878,32390019,17247.08146964856,1688,109193786,64688.26184834123,3911
BAYSWATER,2021,818000,780467855,12715,61381.663782933545,10852,155709629,14348.473000368596,10791,688361901,63790.371698637755,3153
BAYSWATER NORTH,2021,800500,780467855,12715,61381.663782933545,10852,155709629,14348.473000368596,10791,688361901,63790.371698637755,3153
BEACONSFIELD,2021,862500,972480710,8301,117152.23587519577,7625,277877342,36442.93009836066,7437,746791015,100415.6266,2015
BEACONSFIELD UPPER,2021,,213483172,1998,106848.43443443443,1715,64355994,37525.360932944604,1555,116935565,75199.72025723473,3808
BEAUFORT,2021,320000,23905763,380,62909.902631578945,318,5616824,17662.96855345912,246,13272850,53954.67479674797,4724
BEAUMARIS,2021,1725000,114893730,2264,50748.113957597176,1823,21414217,11746.690619857378,1591,76573530,48129.182903834066,7215
BEECHWORTH,2021,530000,181634536,3000,60544.84533333333,2443,37847251,15492.120753172328,2235,137783181,61647.95570469799,3747
BELGRAVE,2021,717000,422813361,5598,75529.36066452305,4763,99916174,20977.571698509342,4641,329117988,70915.31738849386,3160
BELGRAVE HEIGHTS,2021,740000,422813361,5598,75529.36066452305,4763,99916174,20977.571698509342,4641,329117988,70915.31738849386,3160
BELGRAVE SOUTH,2021,660000,422813361,5598,75529.36066452305,4763,99916174,20977.571698509342,4641,329117988,70915.31738849386,3160
BELL PARK,2021,568000,826498971,12706,65047.92782937195,10980,172723461,15730.734153005464,10604,682809480,64391.68992832893,3215
BELL POST HILL,2021,540000,826498971,12706,65047.92782937195,10980,172723461,15730.734153005464,10604,682809480,64391.68992832893,3215
BELLFIELD (BANYULE),2021,843000,,,,,,,,,,
BELMONT,2021,710500,1081449312,15737,68720.16979093855,13120,241574857,18412.71775914634,12596,853156659,67732.34829,2280
BENALLA,2021,351500,332644739,5927,56123.627298802094,4886,64847318,13272.066721244371,4555,259579426,56987.79934,3672
BENDIGO,2021,510000,1584577792,24249,65346.10878799126,20497,346880747,16923.488656876616,19581,1180913683,60309.16107451101,3550
BENTLEIGH,2021,1541500,1786003131,20691,86317.87400318979,17555,453565884,25836.848988892052,16768,1424123430,84931.02516698473,3204
BENTLEIGH EAST,2021,1373500,1462997801,17857,81928.53228425827,15099,359414052,23803.831512020664,14324,1180261131,82397.45399329797,3165
BERWICK,2021,770000,2619994661,31264,83802.28572799386,26505,678173530,25586.626296925107,25992,1811042585,69676.92309172053,3806
BEVERIDGE,2021,616000,204025077,3037,67179.80803424431,2686,42452296,15805.024571854057,2652,182971941,68993.94457013575,3753
BIRCHIP,2021,110000,34134498,556,61392.982014388486,474,7123554,15028.594936708861,389,22983301,59083.035989717224,3483
BIRREGURRA,2021,891000,38970169,652,59770.197852760735,536,8179833,15260.882462686568,468,27605059,58985.168803418805,3242
BITTERN,2021,610000,166871948,2551,65414.32693061545,2172,36432248,16773.594843462248,1969,125856966,63919.23108176739,3918
BLACK HILL,2021,595000,932278156,14283,65271.87258,12467,192875408,15470.87575198524,12584,828100934,65805.85934520025,2322
BLACK ROCK,2021,2450000,1547481106,13425,115268.61124767225,11057,463809858,41947.169937596096,9306,937997348,100794.90092413497,3193
BLACKBURN,2021,1481000,1657521554,20608,80430.97602872671,16897,416327568,24639.141149316445,16019,1226535794,76567.56314376678,3130
BLACKBURN NORTH,2021,1302000,1657521554,20608,80430.97602872671,16897,416327568,24639.141149316445,16019,1226535794,76567.56314376678,3130
BLACKBURN SOUTH,2021,1232000,1657521554,20608,80430.97602872671,16897,416327568,24639.141149316445,16019,1226535794,76567.56314376678,3130
BLACKWOOD,2021,600000,737481478,9908,74432.93076301979,8483,169144729,19939.258399151244,7650,563503252,73660.55581699347,5051
BLAIRGOWRIE,2021,1400000,141985269,1657,85688.15268557634,1297,38944121,30026.30763299923,959,72218056,75305.58498,3942
BLIND BIGHT,2021,605000,131503797,2112,62265.05539772727,1820,26492691,14556.423626373626,1720,106748963,62063.350581395345,3980
BONBEACH,2021,871500,1193097861,16048,74345.57957377867,13910,269955208,19407.27591660676,13427,1006681617,74974.42593282192,3196
BONNIE DOON,2021,480000,22097436,426,51871.91549295775,342,4204509,12293.88596491228,303,16254477,53645.13861386139,3720
BONSHAW,2021,510000,14838457,392,37853.20663265306,283,2540781,8978.024734982333,275,12639633,45962.30181818182,2361
BOOLARRA,2021,310000,38373704,721,53222.89042995839,573,7297181,12735.04537521815,530,32425497,61180.18301886792,3870
BOORT,2021,235000,30148976,578,52160.85813148789,463,5774606,12472.151187904967,406,19723868,48580.95566502463,3537
BORONIA,2021,780000,858566826,13986,61387.589446589445,11994,170114712,14183.317658829415,11795,759374837,64381.07986,3155
BOTANIC RIDGE,2021,802500,4046612497,67632,59832.808389519756,58596,783521482,13371.58649054543,58568,3595349960,61387.61712880754,3977
BOX HILL,2021,1570000,2384246513,30385,78467.87932,26984,547390506,20285.743625852356,27241,2104847682,77267.63635696193,2765
BOX HILL NORTH,2021,1276000,800244132,10837,73843.69585678693,8727,193405220,22161.707345021197,8380,618033603,73751.02661097852,3129
BOX HILL SOUTH,2021,1252000,859212404,14119,60855.04667469367,10975,188391112,17165.47717539863,10980,695232896,63318.11438979964,3128
BRAYBROOK,2021,707500,311074792,5701,54564.95211366427,4755,57632055,12120.305993690852,4940,280178501,56716.29574898785,3019
BREAKWATER,2021,456500,672644651,11497,58506.10167869879,9918,130523243,13160.238253680178,9757,569611110,58379.73864917495,3219
BRIAGOLONG,2021,411500,254515382,4256,59801.54652255639,3555,53223352,14971.407032348805,3358,203244215,60525.37671232877,3860
BRIAR HILL,2021,911000,1219923609,16609,73449.55199,14104,275495534,19533.149035734543,13501,1024025590,75848.12902747944,3088
BRIGHT,2021,819000,7507614,185,40581.697297297294,133,1209328,9092.691729,106,5207907,49131.198113207545,5381
BRIGHTON,2021,2842500,1597214840,22876,69820.54729847875,19785,346875365,17532.23982815264,19191,1364807431,71117.05648481059,4017
BRIGHTON EAST,2021,1978500,1170861510,10389,112702.04158244297,8685,346781894,39928.83062751871,7179,753359386,104939.32107535869,3187
BROADFORD,2021,510000,230215530,3664,62831.74945414847,3128,47971741,15336.234335038363,3074,192392350,62586.97137280416,3658
BROADMEADOWS,2021,550000,443665431,9415,47123.253425385024,7581,74867742,9875.707954095766,7520,366762030,48771.546542553195,3047
BROOKFIELD,2021,495000,133679369,2274,58786.00219876869,1864,28598847,15342.72907725322,1684,98623685,58565.13361,2420
BROOKLYN,2021,820000,77670853,1028,75555.30447470817,846,18562869,21941.925531914894,744,58420995,78522.84274193548,2083
BROWN HILL,2021,586500,,,,,,,,,,
BRUNSWICK,2021,1257000,1367097612,17243,79284.20878037464,15264,321198981,21042.91018081761,15138,1154976085,76296.47806843705,3056
BRUNSWICK EAST,2021,1535000,771694872,9417,81946.99713284486,8481,182153495,21477.832213182406,8405,659572640,78473.84176085664,3057
BRUNSWICK WEST,2021,1245500,742859711,9525,77990.52083989502,8329,176063170,21138.572457677994,8317,611279437,73497.58771191536,3055
BRUTHEN,2021,282500,55036707,1096,50215.973540145984,902,9924856,11003.166297117517,848,45607249,53782.13325471698,3885
BULLEEN,2021,1100000,522544344,6895,75785.98172588833,5595,127516274,22791.112421805185,4976,370478549,74453.08460610932,3105
BUNDALONG,2021,652500,317639472,5444,58346.706833210876,4546,64550821,14199.476682798064,4161,234980037,56472.01081,3730
BUNDOORA,2021,810000,1147287765,18656,61496.98568825043,15363,237704036,15472.501204191889,15203,956756420,62932.08051042557,3083
BUNINYONG,2021,673500,163399541,2305,70889.17180043383,1916,36855966,19235.890396659706,1781,126578471,71071.57271195957,3357
BUNYIP,2021,555000,197221513,2115,93248.94231678487,1784,56144765,31471.280829596413,1675,107681895,64287.69850746269,3815
BURNSIDE,2021,635000,1280686370,21973,58284.54785418468,18445,254755814,13811.646191379778,16950,983932882,58049.137581120944,4560
BURNSIDE HEIGHTS,2021,686000,2199593985,36114,60906.96087389932,30581,438613995,14342.696282005167,31033,1950366398,62848.142235684594,3023
BURWOOD,2021,1392500,690209529,11621,59393.29911367352,9088,150811183,16594.540382922536,9383,549402334,58552.95044228925,2134
BURWOOD EAST,2021,1170000,419088848,6843,61243.43825807395,5404,89288667,16522.699296817173,5100,336329481,65946.95705882354,3151
CAIRNLEA,2021,735000,2199593985,36114,60906.96087389932,30581,438613995,14342.696282005167,31033,1950366398,62848.142235684594,3023
CALIFORNIA GULLY,2021,367000,408999019,7735,52876.40840336135,6583,72899111,11073.843384475163,6571,353840141,53848.75072287323,3556
CAMBERWELL,2021,2136000,1763589826,14926,118155.55580865603,12357,537364061,43486.61171805454,10530,1031727057,97979.77749287749,3124
CAMPBELLFIELD,2021,550000,115506130,2213,52194.36512,1811,21387939,11810.016013252347,1643,86702655,52770.94035301278,3061
CAMPBELLS CREEK,2021,623500,,,,,,,,,,
CAMPERDOWN,2021,304000,548505512,5734,95658.44297174747,5011,143170893,28571.32169227699,5089,462327159,90848.33149931225,2050
CANADIAN,2021,458000,2606930585,38858,67088.64545267384,33183,567751702,17109.715878612544,32068,2069099596,64522.25258824997,3350
CANTERBURY,2021,2830000,767829972,10734,71532.5109,9095,174780783,19217.23837273227,8980,657767630,73248.06570155903,2193
CAPE PATERSON,2021,668000,,,,,,,,,,
CAPE SCHANCK,2021,760000,514497569,8510,60457.99870740306,6931,109925235,15859.93868128697,6250,361686606,57869.85696,3939
CAPEL SOUND,2021,684000,126911169,2331,54444.94594594595,1906,25004201,13118.678384050367,1573,82216067,52267.048315321044,3940
CARISBROOK,2021,269500,32294704,623,51837.406099518455,527,5813619,11031.535104364326,494,26215140,53067.085020242914,3464
CARLTON,2021,1220000,632060098,10173,62131.141059667745,8404,131680798,15668.824131366016,8471,550032245,64931.205878880886,2218
CARLTON NORTH,2021,1500000,594654558,5673,104821.88577472237,4897,169684937,34650.793751276295,4452,392019361,88054.66329739444,3054
CARNEGIE,2021,1548000,1720129219,21592,79665.11758984809,18575,414147552,22295.965114401075,18104,1406855689,77709.66024083075,3163
CAROLINE SPRINGS,2021,670000,2199593985,36114,60906.96087389932,30581,438613995,14342.696282005167,31033,1950366398,62848.142235684594,3023
CARRUM,2021,880000,569779081,7486,76112.62102591504,6398,133952092,20936.557049077837,5919,431639755,72924.43909444162,3197
CARRUM DOWNS,2021,629000,787943071,13085,60217.277111196025,11603,151286495,13038.567180901491,11638,708213408,60853.532222031274,3201
CASTERTON,2021,170000,46824175,872,53697.44839449541,704,9009980,12798.267045454546,622,32726673,52615.22990353698,3311
CASTLEMAINE,2021,658500,229645410,3931,58419.08165861104,3123,47140270,15094.546910022415,2688,157919320,58749.74702380953,3450
CAULFIELD,2021,1610000,1199689030,11683,102686.72686809895,9957,337379633,33883.66305111982,8424,742079306,88091.08570750238,3162
CAULFIELD EAST,2021,1752500,1737179906,15436,112540.80759264059,13006,515221139,39614.11187144395,11833,1113854206,94131.17603312769,3145
CAULFIELD NORTH,2021,2100000,1369174388,11133,122983.41758735292,9658,418717583,43354.481569683165,8101,674955442,83317.54622886064,3161
CAULFIELD SOUTH,2021,1625000,1199689030,11683,102686.72686809895,9957,337379633,33883.66305111982,8424,742079306,88091.08570750238,3162
CHADSTONE,2021,1048000,424062794,6011,70547.79470969888,5111,94494925,18488.539424770104,4933,353865887,71734.41861,3148
CHARLEMONT,2021,525000,959446395,14363,66799.86040520783,12854,196773226,15308.326279757273,12934,864112140,66809.35054894078,3217
CHARLTON,2021,162000,4295354492,66936,64171.06627226007,57151,910680929,15934.645570506204,55365,3454077353,62387.38107107378,4350
CHELSEA,2021,988000,1193097861,16048,74345.57957377867,13910,269955208,19407.27591660676,13427,1006681617,74974.42593282192,3196
CHELSEA HEIGHTS,2021,940000,1193097861,16048,74345.57957377867,13910,269955208,19407.27591660676,13427,1006681617,74974.42593282192,3196
CHELTENHAM,2021,1232500,812620166,7682,105782.3699557407,6248,233494053,37371.00720230474,5593,553565724,98974.74056856785,2119
CHELTENHAM EAST,2021,1115000,1152008818,14858,77534.58190873603,12719,270780709,21289.465288151583,12027,958277576,79677.19098694604,3192
CHELTENHAM NORTH,2021,999500,,,,,,,,,,
CHEWTON,2021,803000,197767105,3230,61228.205882352944,2695,40754636,15122.313914656772,2449,148331550,60568.21151490404,3451
CHILTERN,2021,295000,56647861,1055,53694.65497630332,880,10366376,11779.972727272727,853,48496144,56853.62719812427,3683
CHIRNSIDE PARK,2021,805000,499759945,7306,68404.04393649056,6182,109444295,17703.70349401488,5967,408429043,68447.97101,3116
CHURCHILL,2021,289000,136628637,2507,54498.858,2058,25469079,12375.645772594753,2112,119723360,56687.19696969697,3842
CLARINDA,2021,1029000,703110515,12255,57373.35904,10218,135469126,13257.89058524173,10302,616787155,59870.622694622405,3169
CLAYTON,2021,1070000,691839399,13761,50275.372356660126,10486,129703257,12369.183387373641,11842,603475886,50960.63891234589,3168
CLAYTON NORTH,2021,1075000,,,,,,,,,,
CLAYTON SOUTH,2021,832000,703110515,12255,57373.35904,10218,135469126,13257.89058524173,10302,616787155,59870.622694622405,3169
CLIFTON HILL,2021,1266000,1363345194,12570,108460.23818615751,11127,384735605,34576.75968365237,10318,973312397,94331.49806163985,3068
CLIFTON SPRINGS,2021,570000,680936847,10559,64488.762856331094,8832,146711307,16611.334578804348,8234,514363005,62468.18132,3222
CLUNES,2021,450000,51071507,982,52007.644602851324,786,9438721,12008.550890585242,753,40304931,53525.80478,3370
CLYDE,2021,599500,846289443,16151,52398.57860194415,13192,154574555,11717.294951485748,13546,744114869,54932.44271371623,2142
CLYDE NORTH,2021,652000,1745538328,28413,61434.49575898356,25014,339773570,13583.336131766211,25341,1600604753,63162.651552819545,3978
COBBLEBANK,2021,516000,,,,,,,,,,
COBDEN,2021,315000,105337501,1802,58455.882907880135,1509,21251928,14083.45129224652,1283,70638207,55057.05923616524,3266
COBRAM,2021,335000,,,,,,,,,,
COBURG,2021,1057500,1607118491,21643,74255.80977683315,18860,363980400,19299.066808059386,18478,1366805121,73969.32140924342,3058
COBURG EAST,2021,987500,,,,,,,,,,
COBURG NORTH,2021,921000,1607118491,21643,74255.80977683315,18860,363980400,19299.066808059386,18478,1366805121,73969.32140924342,3058
COCKATOO,2021,620000,21512201,503,42767.79522862823,415,5280976,12725.243373493975,331,18654866,56359.11178247734,4419
COHUNA,2021,230000,85415524,1601,53351.35790131168,1313,16523228,12584.332063975628,1154,59968494,51965.76603119584,3568
COLAC,2021,385000,428385756,7539,56822.623159570234,6443,82140732,12748.833152258265,6111,344146556,56315.914907543774,3250
COLDSTREAM,2021,670000,63115776,1296,48700.444444444445,1024,11523704,11253.61719,930,49564669,53295.34301075269,2462
COLERAINE,2021,143500,,,,,,,,,,
COLLINGWOOD,2021,1313000,586648063,6506,90170.31401782969,5883,146632999,24924.868094509606,5733,480464900,83806.88993546137,3066
COOLAROO,2021,490000,351123964,7484,46916.617316942815,6035,58250205,9652.063794531898,5856,291842777,49836.539788251364,3048
COONANS HILL,2021,1275000,,,,,,,,,,
COONGULLA,2021,314500,254515382,4256,59801.54652255639,3555,53223352,14971.407032348805,3358,203244215,60525.37671232877,3860
CORINELLA,2021,575000,252358259,4317,58456.85869817003,3654,50536991,13830.594143404489,3435,202810553,59042.373508005825,3984
CORIO,2021,415500,568702266,11564,49178.68090626081,9836,94370874,9594.436152907687,10027,501403121,50005.29779595093,3214
CORONET BAY,2021,438000,252358259,4317,58456.85869817003,3654,50536991,13830.594143404489,3435,202810553,59042.373508005825,3984
CORRYONG,2021,157500,53825101,980,54923.57244897959,804,10523733,13089.220149253732,675,36667467,54322.17333333333,3707
COWES,2021,699000,299525857,5509,54370.27718,4396,59163863,13458.567561419472,3847,206551759,53691.645178060826,3922
COWES WEST,2021,635000,,,,,,,,,,
CRAIGIEBURN,2021,573000,3558576526,62697,56758.322184474535,53269,670134667,12580.199872346016,53274,3152885582,59182.44513271014,3064
CRANBOURNE,2021,575000,4046612497,67632,59832.808389519756,58596,783521482,13371.58649054543,58568,3595349960,61387.61712880754,3977
CRANBOURNE EAST,2021,620000,4046612497,67632,59832.808389519756,58596,783521482,13371.58649054543,58568,3595349960,61387.61712880754,3977
CRANBOURNE NORTH,2021,646500,4046612497,67632,59832.808389519756,58596,783521482,13371.58649054543,58568,3595349960,61387.61712880754,3977
CRANBOURNE SOUTH,2021,620000,4046612497,67632,59832.808389519756,58596,783521482,13371.58649054543,58568,3595349960,61387.61712880754,3977
CRANBOURNE WEST,2021,585000,,,,,,,,,,
CREMORNE,2021,1695000,1360825353,9221,147578.93428044682,8033,438766234,54620.469812025396,7053,849036114,120379.42917907273,2090
CRESWICK,2021,427500,111484106,1887,59080.07737148913,1567,23596856,15058.619017230376,1439,82636062,57426.033356497566,3363
CRIB POINT,2021,581000,109820167,1892,58044.48572938689,1638,20884703,12750.123931623932,1611,94721313,58796.594040968346,3919
CROYDON,2021,815000,519185664,6490,79997.79106317411,5421,128149813,23639.515403062167,5165,418017182,80932.65866408519,2132
CROYDON HILLS,2021,902000,1894477632,27891,67924.33516188018,23691,409554415,17287.341817567853,22918,1593668245,69537.84121651103,3136
CROYDON NORTH,2021,962000,1894477632,27891,67924.33516188018,23691,409554415,17287.341817567853,22918,1593668245,69537.84121651103,3136
CROYDON SOUTH,2021,828000,1894477632,27891,67924.33516188018,23691,409554415,17287.341817567853,22918,1593668245,69537.84121651103,3136
CURLEWIS,2021,570000,41982248,646,64988,544,9283482,17065.22426470588,510,31250332,61275.160784313724,2381
DALLAS,2021,500000,443665431,9415,47123.253425385024,7581,74867742,9875.707954095766,7520,366762030,48771.546542553195,3047
DALYSTON,2021,435500,40272968,758,53130.56464379947,632,7351418,11631.990506329113,592,31599218,53377.05743243243,3992
DANDENONG,2021,680000,1464716725,27813,52663.02538381332,23316,265427423,11383.917610224738,22140,1194054942,53932.020867208674,3175
DANDENONG NORTH,2021,684000,1464716725,27813,52663.02538381332,23316,265427423,11383.917610224738,22140,1194054942,53932.020867208674,3175
DARLEY,2021,569500,,,,,,,,,,
DAYLESFORD,2021,775000,99132126,1607,61687.695084007464,1318,21349231,16198.20257966616,1047,65885238,62927.63896848138,3460
DEANSIDE,2021,695000,,,,,,,,,,
DEEPDENE,2021,4500000,1002136982,10296,97332.65171,8226,288691835,35095.044371504984,6673,559085827,83783.27993406264,3103
DEER PARK,2021,620000,2199593985,36114,60906.96087389932,30581,438613995,14342.696282005167,31033,1950366398,62848.142235684594,3023
DELACOMBE,2021,480000,414779597,8129,51024.67671300283,6901,71895897,10418.18533545863,6888,361504084,52483.17131242741,3356
DELAHEY,2021,570000,1876523258,29563,63475.400263843316,25370,383263281,15106.948403626331,25647,1655431851,64546.80278395134,3037
DENNINGTON,2021,420000,1252517270,20507,61077.54766665041,17606,254517984,14456.320799727366,16678,967409751,58005.14156373666,3280
DERRIMUT,2021,661000,5074195666,72177,70302.11377585657,62045,1121254999,18071.641534370214,62010,4403558129,71013.67729398485,3030
DIAMOND CREEK,2021,915000,612635807,8099,75643.38893690579,7001,140326991,20043.84959,6851,508026121,74153.57188731572,3089
DIGGERS REST,2021,510000,246597007,3690,66828.45718157182,3269,50786482,15535.785255429795,3256,221835032,68131.15233415233,3427
DIMBOOLA,2021,177500,54957785,924,59478.12229,749,11491114,15341.941255006675,663,37216923,56134.12217,3414
DINGLEY VILLAGE,2021,972000,789584573,13558,58237.540418940844,11212,157755560,14070.242597217268,11125,660572876,59377.33716853933,3172
DINNER PLAIN,2021,630000,21293290,401,53100.473815461344,338,4057593,12004.71301775148,297,15096594,50830.28282828283,3898
DONALD,2021,151500,53365586,1053,50679.568850902186,880,10036754,11405.402272727273,781,40041865,51269.99359795135,3480
DONCASTER,2021,1372000,1049345637,15820,66330.31839443742,12467,240566632,19296.27271998075,11227,759173831,67620.36438941836,3108
DONCASTER EAST,2021,1295000,1229978322,18806,65403.50537062639,14798,277579621,18757.914650628463,13588,944295850,69494.83735649101,3109
DONNYBROOK,2021,575000,1637203102,30624,53461.43881,25936,297942079,11487.587870141888,25471,1405304825,55172.738604687685,4510
DONVALE,2021,1174000,640014587,7947,80535.37020259217,6440,162752028,25272.05403726708,5732,447155380,78010.35938590369,3111
DOREEN,2021,667500,1927247393,29324,65722.52738,25500,396527670,15550.104705882353,25884,1745247082,67425.71016844382,3754
DOVETON,2021,520000,288952737,6001,48150.764372604564,5023,47264228,9409.561616563806,4769,240389268,50406.64038582512,3177
DROMANA,2021,800000,514116454,7598,67664.70834430114,6152,118788936,19308.994798439533,5377,336782769,62633.95369164962,3936
DROUIN,2021,525000,581580359,10034,57960.96860673709,8485,113172290,13337.924572775486,8024,480067068,59828.896809571284,3818
DRYSDALE,2021,647000,680936847,10559,64488.762856331094,8832,146711307,16611.334578804348,8234,514363005,62468.18132,3222
DUNKELD,2021,,40754846,708,57563.34181,595,9114940,15319.226890756303,495,26738685,54017.545454545456,4465
DUNOLLY,2021,270000,34450480,725,47517.903448275865,564,6053939,10733.93439716312,506,24830769,49072.666007905136,3472
EAGLE POINT,2021,399500,41345588,749,55201.05207,618,7878003,12747.577669902912,518,29293715,56551.57335907336,3878
EAGLEHAWK,2021,380000,408999019,7735,52876.40840336135,6583,72899111,11073.843384475163,6571,353840141,53848.75072287323,3556
EAGLEMONT,2021,1920000,1508014256,16695,90327.29895178197,14080,395694688,28103.31590909091,12948,1101123305,85041.96053444548,3084
EAST BAIRNSDALE,2021,277000,624329237,11417,54684.175965665236,9528,118563973,12443.741918555836,8856,477511352,53919.52935862692,3875
EAST BENDIGO,2021,333500,1584577792,24249,65346.10878799126,20497,346880747,16923.488656876616,19581,1180913683,60309.16107451101,3550
EAST GEELONG,2021,735000,672644651,11497,58506.10167869879,9918,130523243,13160.238253680178,9757,569611110,58379.73864917495,3219
EAST MELBOURNE,2021,3950000,623102796,3505,177775.4054208274,3111,213937499,68768.08068,2549,259321392,101734.55943507257,3002
EAST WARBURTON,2021,593500,168171518,3151,53370.84037,2629,30931188,11765.381513883605,2450,135004894,55104.03836734694,3799
